# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-10-10 18:37:37 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01073500 LAMPREY RIVER NEAR NEWMARKET, NH
# -----------------------------------------------------------------------------------
#
# Data provided for site 01073500
#            TS   parameter     statistic     Description
#         63999       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	63999_00060_00003	63999_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01073500	1990-01-01	110	A:e
USGS	01073500	1990-01-02	120	A:e
USGS	01073500	1990-01-03	130	A:e
USGS	01073500	1990-01-04	130	A:e
USGS	01073500	1990-01-05	130	A:e
USGS	01073500	1990-01-06	130	A:e
USGS	01073500	1990-01-07	125	A:e
USGS	01073500	1990-01-08	120	A:e
USGS	01073500	1990-01-09	115	A:e
USGS	01073500	1990-01-10	110	A:e
USGS	01073500	1990-01-11	105	A:e
USGS	01073500	1990-01-12	100	A:e
USGS	01073500	1990-01-13	95.0	A:e
USGS	01073500	1990-01-14	90.0	A:e
USGS	01073500	1990-01-15	90.0	A
USGS	01073500	1990-01-16	87.0	A
USGS	01073500	1990-01-17	88.0	A
USGS	01073500	1990-01-18	101	A
USGS	01073500	1990-01-19	132	A
USGS	01073500	1990-01-20	133	A
USGS	01073500	1990-01-21	127	A
USGS	01073500	1990-01-22	115	A
USGS	01073500	1990-01-23	115	A
USGS	01073500	1990-01-24	113	A
USGS	01073500	1990-01-25	115	A
USGS	01073500	1990-01-26	193	A
USGS	01073500	1990-01-27	311	A
USGS	01073500	1990-01-28	352	A
USGS	01073500	1990-01-29	379	A
USGS	01073500	1990-01-30	328	A
USGS	01073500	1990-01-31	304	A
USGS	01073500	1990-02-01	295	A
USGS	01073500	1990-02-02	293	A
USGS	01073500	1990-02-03	280	A:e
USGS	01073500	1990-02-04	280	A:e
USGS	01073500	1990-02-05	280	A:e
USGS	01073500	1990-02-06	270	A:e
USGS	01073500	1990-02-07	270	A:e
USGS	01073500	1990-02-08	260	A:e
USGS	01073500	1990-02-09	264	A
USGS	01073500	1990-02-10	324	A
USGS	01073500	1990-02-11	393	A
USGS	01073500	1990-02-12	406	A
USGS	01073500	1990-02-13	398	A
USGS	01073500	1990-02-14	368	A
USGS	01073500	1990-02-15	342	A
USGS	01073500	1990-02-16	300	A:e
USGS	01073500	1990-02-17	280	A:e
USGS	01073500	1990-02-18	260	A:e
USGS	01073500	1990-02-19	250	A:e
USGS	01073500	1990-02-20	230	A:e
USGS	01073500	1990-02-21	218	A
USGS	01073500	1990-02-22	236	A
USGS	01073500	1990-02-23	487	A
USGS	01073500	1990-02-24	744	A
USGS	01073500	1990-02-25	825	A
USGS	01073500	1990-02-26	818	A
USGS	01073500	1990-02-27	677	A
USGS	01073500	1990-02-28	560	A
USGS	01073500	1990-03-01	457	A
USGS	01073500	1990-03-02	411	A
USGS	01073500	1990-03-03	370	A:e
USGS	01073500	1990-03-04	340	A:e
USGS	01073500	1990-03-05	310	A:e
USGS	01073500	1990-03-06	280	A:e
USGS	01073500	1990-03-07	270	A
USGS	01073500	1990-03-08	233	A
USGS	01073500	1990-03-09	231	A
USGS	01073500	1990-03-10	241	A
USGS	01073500	1990-03-11	308	A
USGS	01073500	1990-03-12	434	A
USGS	01073500	1990-03-13	558	A
USGS	01073500	1990-03-14	725	A
USGS	01073500	1990-03-15	780	A
USGS	01073500	1990-03-16	830	A
USGS	01073500	1990-03-17	858	A
USGS	01073500	1990-03-18	1070	A
USGS	01073500	1990-03-19	1150	A
USGS	01073500	1990-03-20	1130	A
USGS	01073500	1990-03-21	1110	A
USGS	01073500	1990-03-22	1080	A
USGS	01073500	1990-03-23	986	A
USGS	01073500	1990-03-24	776	A
USGS	01073500	1990-03-25	610	A
USGS	01073500	1990-03-26	526	A
USGS	01073500	1990-03-27	429	A
USGS	01073500	1990-03-28	355	A
USGS	01073500	1990-03-29	317	A
USGS	01073500	1990-03-30	335	A
USGS	01073500	1990-03-31	346	A
USGS	01073500	1990-04-01	343	A
USGS	01073500	1990-04-02	587	A
USGS	01073500	1990-04-03	1420	A
USGS	01073500	1990-04-04	1460	A
USGS	01073500	1990-04-05	1250	A
USGS	01073500	1990-04-06	861	A
USGS	01073500	1990-04-07	638	A
USGS	01073500	1990-04-08	530	A
USGS	01073500	1990-04-09	493	A
USGS	01073500	1990-04-10	591	A
USGS	01073500	1990-04-11	642	A
USGS	01073500	1990-04-12	611	A
USGS	01073500	1990-04-13	527	A
USGS	01073500	1990-04-14	645	A
USGS	01073500	1990-04-15	741	A
USGS	01073500	1990-04-16	757	A
USGS	01073500	1990-04-17	665	A
USGS	01073500	1990-04-18	577	A
USGS	01073500	1990-04-19	499	A
USGS	01073500	1990-04-20	499	A
USGS	01073500	1990-04-21	485	A
USGS	01073500	1990-04-22	446	A
USGS	01073500	1990-04-23	395	A
USGS	01073500	1990-04-24	351	A
USGS	01073500	1990-04-25	322	A
USGS	01073500	1990-04-26	296	A
USGS	01073500	1990-04-27	278	A
USGS	01073500	1990-04-28	253	A
USGS	01073500	1990-04-29	339	A
USGS	01073500	1990-04-30	393	A
USGS	01073500	1990-05-01	360	A
USGS	01073500	1990-05-02	310	A
USGS	01073500	1990-05-03	277	A
USGS	01073500	1990-05-04	324	A
USGS	01073500	1990-05-05	340	A
USGS	01073500	1990-05-06	358	A:e
USGS	01073500	1990-05-07	356	A
USGS	01073500	1990-05-08	347	A
USGS	01073500	1990-05-09	321	A
USGS	01073500	1990-05-10	290	A
